DAPI1st,DAPI2nd,DAPI3rd,GABA488,GAD647,gephyrin594,GS594,MBP488,NR1594,PSD95_488,Synapsin647,VGluT1_647
66.7428057554,20.476618705,19.8838129496,12.9960431655,78.6381294964,5.01294964029,9.93741007194,2.0,24.0464028777,71.0669064748,44.1985611511,12.4971223022
111.273727026,24.3347142714,30.8056392488,7.81111278498,28.9917394798,9.47845736668,8.53274078538,1.89351712363,4.35427337551,10.2785728633,61.5772069901,16.1925780858
93.5679972151,20.2493037828,23.0579600835,3.81666279879,26.0646901833,8.70642840566,11.0230331864,0.870445579021,5.84033418427,26.2495938733,19.4713970759,9.27204687863
100.676840215,19.0,18.5430879713,13.0592459605,31.1795332136,7.0,11.8402154399,0.0,5.81418312388,11.5430879713,25.5556552962,8.85278276481
76.5759022021,24.1284015741,29.2497278741,5.1901113623,24.2346144185,8.01310391024,8.30796282341,2.0340366742,3.78832789081,31.9788997739,20.8774595998,11.9300845684
117.253309797,22.9513722523,26.158870256,7.09036271172,29.6441390325,11.9332156517,9.18375152356,0.0562770562771,3.47808178876,34.0118522254,22.4786281679,17.6616651956
92.602739726,21.1410410959,23.2789041096,3.51901369863,50.952109589,9.9698630137,14.2912876712,0.633424657534,8.83090410959,98.437369863,43.9283287671,44.6606027397
98.2173697837,23.1234389278,28.1656259519,6.80707432227,31.3657477917,9.68203624733,8.95366280841,1.96238196771,6.15047212915,38.9877017971,13.1916311301,16.0063585136
92.2085592011,22.9055634807,25.0501188778,13.6617213505,24.2347123157,8.40095102235,10.259533999,2.0,6.79467427485,10.4022824536,16.4560152164,14.8446980504
117.375979588,19.2861308547,20.0609622745,4.50291598323,23.0958629488,8.5878439949,10.3635866594,1.98341534536,6.7357390195,19.8448150173,13.5776380536,8.50829232732
61.0429054871,20.1886632826,24.4714769156,1.55027797921,26.042422045,7.11131254532,8.26831036983,2.0,11.6041817742,17.7026831037,46.6873338168,33.9127386995
78.1800571327,23.8221746117,30.0455275844,4.52008569898,29.0108016426,7.00874843778,8.46223888591,1.89109087663,6.52892340653,31.3199428673,15.2281735404,9.31226566685
110.335053209,18.9316349565,18.0580457917,2.62786198001,32.2357304095,8.0835214447,10.4343760077,2.43921315705,3.62399226056,63.5801354402,11.8839084166,17.4972589487
137.960088365,19.0022827688,20.8706185567,4.83910162003,42.7172312224,7.06575846834,11.6891752577,2.94366715758,11.1886597938,62.4530927835,20.2417525773,14.4568483063
97.5003636364,19.5208727273,19.8772363636,8.19505454545,55.4218181818,7.44756363636,7.75214545455,3.21687272727,15.9309090909,36.7006545455,42.8922181818,10.7780363636
108.887807444,24.5042746284,30.4271997896,7.59029330527,21.8420360384,8.26752597659,8.69117453637,2.0,8.14731027226,41.6361962383,22.0257792976,19.4660002631
